uvrstitev,startna_st,name,state,velocity_1,distance_1,SLO_1,GER_1,AUT_1,POL_1,JPN_1,NOR_1,FIN_1,CAN_1,KAZ_1,ITA_1,FRA_1,RUS_1,CZE_1,SUI_1,ROU_1,USA_1,KOR_1,SWE_1,gate_1,tocke_1,mesto_1,velocity_2,distance_2,SLO_2,GER_2,AUT_2,POL_2,JPN_2,NOR_2,FIN_2,CAN_2,KAZ_2,ITA_2,FRA_2,RUS_2,CZE_2,SUI_2,ROU_2,USA_2,KOR_2,SWE_2,gate_2,tocke_2,mesto_2,tocke,hill_size,k_point 
28.,21,PAVLOVCIC Bor,SLO,87.6,126.5,,18.0,,18.0,,,19.0,,,,,18.5,,,18.0,,,,5,116.9,20.,86.9,115.0,,17.0,,17.5,,,17.5,,,,,17.0,,,17.0,,,,4,100.6,29.,217.5,134,120
30.,43,TAKEUCHI Taku,JPN,87.1,121.5,,17.5,,18.0,,,18.5,,,,,17.5,,,17.5,,,,4,113.7,23.,86.9,111.0,,17.0,,17.0,,,17.5,,,,,17.0,,,16.5,,,,4,96.6,30.,210.3,134,120
1.,50,STOCH Kamil,POL,90.2,130.5,18.5,,,19.0,,18.5,,,18.5,,,,,,19.0,,,,13,140.8,6.,90.1,131.0,18.5,,,19.0,,19.0,,,19.0,,,,,,19.0,,,,13,146.6,1.,287.4,134,120
2.,38,WELLINGER Andreas,GER,90.7,130.5,18.5,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,143.7,2.,90.8,133.0,19.0,,,18.5,,19.0,,,18.5,,,,,,19.0,,,,13,142.1,2.,285.8,134,120
3.,41,FREITAG Richard,GER,90.4,132.5,18.5,,,18.5,,19.0,,,19.0,,,,,,18.5,,,,13,144.6,1.,90.5,131.0,18.5,,,19.0,,19.0,,,18.5,,,,,,18.5,,,,13,139.6,7.,284.2,134,120
4.,44,EISENBICHLER Markus,GER,90.2,133.0,18.5,,,18.5,,19.0,,,18.0,,,,,,18.5,,,,13,141.9,4.,90.4,130.5,18.5,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,141.1,4.,283.0,134,120
5.,46,HAYBOECK Michael,AUT,90.7,132.5,18.5,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,142.8,3.,90.7,131.0,18.0,,,18.5,,18.0,,,18.0,,,,,,18.5,,,,13,139.0,8.,281.8,134,120
6.,43,ZYLA Piotr,POL,90.4,132.5,18.5,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,140.1,7.,90.5,128.0,18.5,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,139.0,8.,279.1,134,120
7.,49,TANDE Daniel Andre,NOR,90.8,132.0,18.0,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,141.9,4.,90.8,129.5,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,136.6,14.,278.5,134,120
8.,33,KUBACKI Dawid,POL,90.7,129.5,18.0,,,18.5,,18.5,,,18.0,,,,,,18.0,,,,13,139.3,8.,90.7,128.5,19.0,,,18.0,,18.5,,,18.5,,,,,,18.5,,,,13,138.1,12.,277.4,134,120
9.,48,PREVC Domen,SLO,89.7,129.0,18.0,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,138.0,11.,89.7,130.0,18.5,,,18.5,,18.5,,,18.5,,,,,,18.5,,,,13,138.6,11.,276.6,134,120
10.,35,KLIMOV Evgeniy,RUS,90.5,128.5,17.5,,,18.0,,17.5,,,18.0,,,,,,18.0,,,,13,137.3,12.,90.4,130.5,18.5,,,18.0,,18.0,,,18.5,,,,,,18.5,,,,13,139.0,8.,276.3,134,120
11.,37,GEIGER Karl,GER,90.6,127.0,18.0,,,18.0,,18.0,,,18.5,,,,,,18.5,,,,13,135.2,14.,90.6,127.5,18.0,,,18.0,,17.5,,,18.0,,,,,,18.0,,,,13,139.7,6.,274.9,134,120
12.,47,KOT Maciej,POL,90.2,127.5,18.0,,,18.5,,18.0,,,18.0,,,,,,18.5,,,,13,133.9,15.,90.2,124.5,18.0,,,18.0,,17.5,,,18.0,,,,,,18.0,,,,13,137.7,13.,271.6,134,120
13.,36,PREVC Peter,SLO,90.5,125.5,17.5,,,17.5,,16.5,,,17.0,,,,,,17.5,,,,13,130.9,19.,90.3,131.0,19.0,,,18.5,,19.0,,,18.5,,,,,,18.5,,,,13,140.1,5.,271.0,134,120
14.,17,ZIOBRO Jan,POL,89.9,130.0,17.5,,,17.5,,17.5,,,18.0,,,,,,18.0,,,,13,138.8,9.,89.9,125.5,17.5,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,130.7,19.,269.5,134,120
15.,26,KOUDELKA Roman,CZE,90.5,126.0,18.0,,,18.0,,18.5,,,18.5,,,,,,18.0,,,,13,132.2,17.,90.6,126.0,18.5,,,18.5,,18.0,,,18.5,,,,,,18.0,,,,13,136.1,15.,268.3,134,120
16.,34,LEYHE Stephan,GER,90.4,128.5,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,138.4,10.,90.3,125.5,17.5,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,129.4,22.,267.8,134,120
17.,45,FETTNER Manuel,AUT,90.3,124.5,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,125.5,26.,90.1,129.0,18.5,,,18.0,,18.5,,,18.0,,,,,,18.0,,,,13,141.5,3.,267.0,134,120
18.,12,POLASEK Viktor,CZE,90.3,126.5,18.0,,,17.5,,18.0,,,18.0,,,,,,18.0,,,,13,132.6,16.,90.4,124.0,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,133.7,18.,266.3,134,120
19.,40,STJERNEN Andreas,NOR,90.9,124.0,17.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,129.7,21.,90.8,125.0,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,134.1,17.,263.8,134,120
20.,39,DESCOMBES SEVOIE Vincent,FRA,90.0,127.0,18.0,,,18.5,,18.0,,,18.0,,,,,,18.5,,,,13,136.1,13.,90.2,125.0,17.5,,,18.0,,17.5,,,17.5,,,,,,17.5,,,,13,127.2,24.,263.3,134,120
21.,23,PREVC Cene,SLO,90.5,124.5,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,131.5,18.,90.5,125.5,18.5,,,18.0,,18.5,,,18.0,,,,,,18.0,,,,13,130.0,20.,261.5,134,120
22.,21,DAMJAN Jernej,SLO,90.0,122.0,18.0,,,18.0,,17.5,,,17.5,,,,,,17.5,,,,13,125.4,27.,89.8,125.0,18.0,,,18.0,,18.5,,,18.0,,,,,,17.5,,,,13,134.9,16.,260.3,134,120
23.,30,KASAI Noriaki,JPN,89.9,126.5,18.0,,,18.0,,18.5,,,18.0,,,,,,18.5,,,,13,130.6,20.,89.8,125.0,18.5,,,18.0,,18.5,,,18.0,,,,,,18.0,,,,13,129.5,21.,260.1,134,120
24.,28,HULA Stefan,POL,90.3,124.5,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,125.6,25.,90.2,122.0,18.0,,,18.0,,18.0,,,17.5,,,,,,17.5,,,,13,128.7,23.,254.3,134,120
25.,27,JANDA Jakub,CZE,89.9,124.5,18.0,,,18.5,,17.5,,,18.0,,,,,,17.5,,,,13,127.0,23.,89.9,120.0,17.5,,,17.5,,17.5,,,17.5,,,,,,17.0,,,,13,123.3,26.,250.3,134,120
26.,31,ITO Daiki,JPN,90.3,125.0,18.5,,,18.0,,18.0,,,18.0,,,,,,18.5,,,,13,127.3,22.,90.2,119.0,17.5,,,17.5,,18.0,,,17.5,,,,,,17.5,,,,13,121.8,28.,249.1,134,120
27.,7,BRESADOLA Davide,ITA,90.2,123.0,18.0,,,18.0,,17.5,,,17.5,,,,,,17.5,,,,13,124.8,28.,90.2,121.5,17.5,,,17.5,,18.0,,,17.5,,,,,,17.5,,,,13,124.1,25.,248.9,134,120
28.,25,SCHIFFNER Markus,AUT,90.4,121.0,17.5,,,17.5,,17.0,,,17.5,,,,,,17.5,,,,13,122.3,30.,90.5,121.0,17.0,,,17.5,,17.5,,,17.5,,,,,,17.0,,,,13,121.9,27.,244.2,134,120
29.,42,KOFLER Andreas,AUT,91.0,124.0,17.5,,,18.0,,18.0,,,17.5,,,,,,18.0,,,,13,124.6,29.,90.8,119.5,17.0,,,17.5,,17.5,,,17.0,,,,,,17.5,,,,13,118.8,29.,243.4,134,120
30.,29,FANNEMEL Anders,NOR,90.2,125.5,18.0,,,18.0,,18.0,,,18.0,,,,,,18.0,,,,13,126.6,24.,90.2,115.0,17.0,,,17.0,,17.0,,,17.0,,,,,,17.0,,,,13,113.5,30.,240.1,134,120
1.,40,WELLINGER Andreas,GER,88.2,147.5,,19.0,,,,,19.0,,,19.5,,,,19.5,,19.5,,,10,133.4,2.,87.8,135.0,,19.0,,,,,18.0,,,18.0,,,,18.5,,18.5,,,9,108.9,6.,242.3,145,130
2.,47,KRAFT Stefan,AUT,87.9,148.5,,19.0,,,,,19.0,,,19.0,,,,18.5,,19.0,,,10,130.6,3.,87.0,135.5,,19.0,,,,,18.0,,,18.5,,,,18.5,,18.5,,,9,111.4,3.,242.0,145,130
3.,43,FETTNER Manuel,AUT,87.8,144.5,,19.0,,,,,18.5,,,19.0,,,,19.0,,19.0,,,10,125.6,5.,87.4,136.0,,18.5,,,,,18.0,,,18.0,,,,18.5,,18.5,,,9,115.4,2.,241.0,145,130
4.,49,TANDE Daniel Andre,NOR,87.9,149.5,,19.0,,,,,19.0,,,19.0,,,,18.5,,19.0,,,10,134.6,1.,88.0,134.0,,18.5,,,,,18.0,,,18.0,,,,18.0,,18.0,,,9,105.8,8.,240.4,145,130
5.,50,STOCH Kamil,POL,87.4,145.0,,19.5,,,,,19.0,,,19.5,,,,19.0,,19.0,,,10,126.3,4.,87.0,135.0,,18.5,,,,,17.5,,,18.0,,,,18.0,,18.0,,,9,106.6,7.,232.9,145,130
6.,45,HAYBOECK Michael,AUT,88.0,135.5,,18.5,,,,,18.0,,,18.5,,,,18.5,,18.0,,,10,107.0,15.,88.1,145.5,,19.0,,,,,18.5,,,19.0,,,,19.0,,19.0,,,10,118.9,1.,225.9,145,130
7.,18,SCHLIERENZAUER Gregor,AUT,88.7,141.5,,18.5,,,,,18.5,,,19.0,,,,19.0,,19.0,,,11,116.8,7.,87.6,135.0,,18.0,,,,,18.0,,,18.0,,,,18.5,,18.0,,,9,105.7,9.,222.5,145,130
8.,30,TEPES Jurij,SLO,88.1,142.0,,18.5,,,,,18.5,,,19.0,,,,19.0,,19.0,,,11,123.7,6.,87.4,125.5,,18.0,,,,,17.5,,,17.5,,,,17.5,,17.5,,,9,97.4,16.,221.1,145,130
9.,35,PREVC Peter,SLO,87.1,137.5,,18.5,,,,,18.5,,,18.5,,,,18.5,,18.5,,,10,108.4,11.,86.9,142.5,,17.5,,,,,18.0,,,17.5,,,,18.5,,18.5,,,10,110.1,4.,218.5,145,130
10.,42,ZYLA Piotr,POL,87.7,138.0,,18.5,,,,,18.5,,,18.5,,,,18.5,,18.5,,,10,113.5,9.,87.3,131.0,,18.0,,,,,18.0,,,18.0,,,,18.0,,18.0,,,9,102.7,12.,216.2,145,130
11.,34,KLIMOV Evgeniy,RUS,87.7,132.5,,18.0,,,,,17.5,,,18.0,,,,18.0,,18.0,,,10,104.9,19.,87.5,140.0,,18.5,,,,,18.0,,,18.5,,,,18.5,,18.5,,,10,109.9,5.,214.8,145,130
12.,38,STJERNEN Andreas,NOR,88.2,135.0,,17.5,,,,,17.5,,,17.5,,,,18.0,,17.5,,,10,105.1,18.,88.3,133.0,,17.5,,,,,18.0,,,18.0,,,,18.0,,18.0,,,10,104.4,10.,209.5,145,130
13.,46,KOT Maciej,POL,87.5,133.0,,18.0,,,,,17.5,,,17.5,,,,18.0,,18.0,,,10,103.1,25.,87.6,135.0,,17.5,,,,,18.0,,,18.0,,,,18.0,,18.0,,,10,104.0,11.,207.1,145,130
14.,33,KUBACKI Dawid,POL,88.1,135.0,,18.0,,,,,18.5,,,18.0,,,,18.0,,18.0,,,10,108.1,12.,87.8,136.0,,17.0,,,,,17.0,,,17.5,,,,17.5,,17.5,,,10,98.2,14.,206.3,145,130
15.,19,ZIOBRO Jan,POL,87.5,143.5,,18.0,,,,,18.0,,,18.5,,,,16.5,,17.5,,,11,115.3,8.,86.8,127.0,,17.5,,,,,16.5,,,16.5,,,,17.0,,17.0,,,9,88.0,22.,203.3,145,130
16.,39,KOFLER Andreas,AUT,87.9,134.0,,18.0,,,,,17.5,,,18.0,,,,18.0,,17.5,,,10,103.2,24.,87.8,130.5,,18.0,,,,,17.5,,,18.0,,,,18.0,,17.5,,,10,98.3,13.,201.5,145,130
17.,14,KORNILOV Denis,RUS,87.6,136.0,,18.5,,,,,18.0,,,18.0,,,,18.5,,18.5,,,11,103.8,21.,87.1,134.5,,18.0,,,,,17.5,,,18.0,,,,18.0,,18.0,,,10,97.6,15.,201.4,145,130
18.,44,EISENBICHLER Markus,GER,87.7,133.0,,18.0,,,,,18.0,,,18.0,,,,18.0,,18.0,,,10,103.8,21.,87.4,129.5,,17.5,,,,,17.0,,,17.5,,,,17.5,,17.5,,,10,96.3,18.,200.1,145,130
19.,37,DESCOMBES SEVOIE Vincent,FRA,87.2,138.5,,17.0,,,,,17.5,,,17.5,,,,17.0,,17.5,,,10,107.3,14.,87.1,132.0,,17.5,,,,,17.5,,,17.5,,,,18.0,,18.0,,,10,92.6,20.,199.9,145,130
20.,32,LEYHE Stephan,GER,87.9,133.5,,18.5,,,,,18.0,,,18.0,,,,18.0,,18.0,,,10,104.6,20.,87.4,134.0,,18.5,,,,,18.0,,,18.0,,,,18.0,,18.0,,,10,95.0,19.,199.6,145,130
21.,6,AHONEN Janne,FIN,88.4,132.0,,17.5,,,,,17.5,,,17.5,,,,17.5,,17.5,,,11,101.4,26.,88.1,129.5,,17.5,,,,,17.5,,,18.0,,,,17.5,,17.5,,,10,97.0,17.,198.4,145,130
23.,41,FREITAG Richard,GER,87.9,133.0,,18.0,,,,,18.0,,,18.0,,,,18.0,,18.0,,,10,112.0,10.,87.3,121.0,,16.5,,,,,14.5,,,16.0,,,,16.5,,16.0,,,9,82.7,24.,194.7,145,130
24.,31,JOHANSSON Robert,NOR,87.9,133.5,,17.0,,,,,17.5,,,18.0,,,,18.0,,17.5,,,10,103.5,23.,87.9,128.5,,17.0,,,,,17.0,,,17.5,,,,17.5,,17.5,,,10,89.8,21.,193.3,145,130
25.,48,PREVC Domen,SLO,87.0,133.0,,18.5,,,,,17.5,,,18.0,,,,18.0,,18.0,,,10,106.3,17.,86.7,120.0,,16.5,,,,,14.5,,,16.0,,,,15.5,,16.0,,,10,81.2,25.,187.5,145,130
26.,20,FORFANG Johann Andre,NOR,88.3,138.5,,17.5,,,,,18.0,,,18.0,,,,18.0,,18.0,,,11,106.5,16.,87.7,124.0,,17.0,,,,,17.0,,,17.0,,,,17.0,,17.0,,,10,78.0,26.,184.5,145,130
27.,21,DAMJAN Jernej,SLO,87.7,133.5,,18.0,,,,,17.5,,,18.0,,,,18.0,,18.0,,,11,101.1,27.,86.9,118.5,,17.0,,,,,16.5,,,17.0,,,,17.0,,17.0,,,10,77.8,27.,178.9,145,130
28.,23,PREVC Cene,SLO,88.1,131.5,,18.0,,,,,18.0,,,18.0,,,,18.0,,17.5,,,11,99.4,30.,87.4,119.5,,17.0,,,,,17.0,,,17.0,,,,17.0,,17.5,,,10,71.2,28.,170.6,145,130
29.,22,SCHIFFNER Markus,AUT,88.4,134.0,,18.5,,,,,18.0,,,18.0,,,,18.0,,17.5,,,11,100.5,29.,88.0,115.5,,17.0,,,,,16.5,,,16.5,,,,17.0,,17.0,,,10,69.8,29.,170.3,145,130
30.,13,HILDE Tom,NOR,88.1,137.0,,17.5,,,,,17.5,,,18.0,,,,17.0,,18.0,,,11,101.0,28.,87.6,113.0,,16.5,,,,,16.0,,,16.0,,,,16.5,,17.0,,,10,64.8,30.,165.8,145,130
1.,37,KRAFT Stefan,AUT,103.3,227.5,19.0,18.5,19.0,,,,19.5,,,,,,,19.5,,,,,23,229.4,1.,104.0,218.0,18.5,18.5,19.0,,,,19.0,,,,,,,19.0,,,,,26,210.5,2.,439.9,225,200
2.,32,WELLINGER Andreas,GER,104.6,234.5,19.5,19.0,19.0,,,,19.5,,,,,,,19.0,,,,,27,222.1,2.,104.2,222.5,18.5,19.0,19.0,,,,19.0,,,,,,,19.0,,,,,26,212.7,1.,434.8,225,200
3.,40,STOCH Kamil,POL,103.0,222.5,18.5,18.0,18.5,,,,19.0,,,,,,,19.0,,,,,23,218.2,3.,103.6,217.0,18.5,18.5,19.0,,,,19.0,,,,,,,19.0,,,,,26,207.2,4.,425.4,225,200
4.,39,TANDE Daniel Andre,NOR,103.7,215.5,18.0,18.5,18.5,,,,18.0,,,,,,,18.5,,,,,23,209.7,5.,105.3,229.0,18.5,19.0,19.0,,,,18.0,,,,,,,18.5,,,,,28,208.5,3.,418.2,225,200
5.,38,PREVC Domen,SLO,102.7,220.0,18.5,17.5,18.5,,,,18.5,,,,,,,18.5,,,,,23,217.4,4.,103.5,211.0,18.0,18.0,18.0,,,,18.5,,,,,,,18.0,,,,,26,193.5,8.,410.9,225,200
6.,27,PREVC Peter,SLO,105.4,220.0,18.5,18.0,18.0,,,,18.0,,,,,,,18.5,,,,,31,188.0,10.,104.7,211.5,18.0,18.0,18.5,,,,18.5,,,,,,,18.0,,,,,28,204.8,5.,392.8,225,200
7.,35,HAYBOECK Michael,AUT,103.6,207.0,17.5,17.5,17.5,,,,18.0,,,,,,,17.5,,,,,23,195.8,7.,105.5,215.0,18.0,18.0,18.5,,,,18.5,,,,,,,18.0,,,,,28,193.2,10.,389.0,225,200
8.,33,EISENBICHLER Markus,GER,103.8,211.5,18.0,18.0,18.5,,,,18.5,,,,,,,18.0,,,,,25,196.5,6.,105.1,214.5,17.5,18.0,18.0,,,,18.0,,,,,,,18.0,,,,,28,189.7,12.,386.2,225,200
9.,31,ZYLA Piotr,POL,104.2,214.0,18.0,18.0,18.0,,,,18.5,,,,,,,18.5,,,,,27,189.6,9.,104.8,203.0,17.5,18.0,18.0,,,,18.0,,,,,,,18.0,,,,,28,187.5,16.,377.1,225,200
10.,30,FREITAG Richard,GER,103.8,195.5,16.0,17.0,16.5,,,,16.0,,,,,,,16.0,,,,,27,172.6,14.,104.5,214.0,18.0,18.5,18.5,,,,18.5,,,,,,,18.0,,,,,28,199.1,6.,371.7,225,200
11.,34,FETTNER Manuel,AUT,103.4,208.5,18.0,18.0,18.0,,,,18.0,,,,,,,18.0,,,,,25,187.0,11.,104.3,210.5,18.0,16.0,18.0,,,,17.5,,,,,,,17.5,,,,,28,181.2,19.,368.2,225,200
12.,17,ZIOBRO Jan,POL,103.8,193.0,17.0,17.0,17.0,,,,17.0,,,,,,,17.0,,,,,27,178.7,12.,104.3,210.0,17.5,17.5,18.0,,,,17.0,,,,,,,16.5,,,,,28,189.0,14.,367.7,225,200
13.,15,DAMJAN Jernej,SLO,103.4,185.5,17.0,16.5,17.0,,,,17.0,,,,,,,17.5,,,,,27,170.6,17.,104.1,216.0,18.5,18.0,18.5,,,,18.5,,,,,,,18.5,,,,,28,193.3,9.,363.9,225,200
14.,20,KASAI Noriaki,JPN,104.3,195.0,17.5,17.0,17.0,,,,17.5,,,,,,,18.0,,,,,29,172.5,15.,104.2,219.5,18.5,18.5,18.5,,,,19.0,,,,,,,18.5,,,,,28,191.1,11.,363.6,225,200
15.,29,STJERNEN Andreas,NOR,104.8,217.5,18.5,17.5,18.0,,,,18.5,,,,,,,18.0,,,,,27,192.8,8.,105.6,197.0,17.5,17.0,17.0,,,,17.5,,,,,,,16.5,,,,,28,168.9,22.,361.7,225,200
16.,4,VASSILIEV Dimitry,RUS,103.3,188.5,17.0,16.0,17.0,,,,16.5,,,,,,,16.5,,,,,25,170.0,18.,105.7,220.5,16.0,16.0,15.5,,,,14.0,,,,,,,14.5,,,,,30,189.7,12.,359.7,225,200
17.,26,KLIMOV Evgeniy,RUS,105.3,205.5,18.0,17.5,18.0,,,,17.5,,,,,,,18.0,,,,,31,172.0,16.,104.5,210.5,18.0,17.0,18.0,,,,18.5,,,,,,,18.0,,,,,28,186.9,17.,358.9,225,200
18.,36,KOT Maciej,POL,103.0,188.5,17.0,16.5,17.0,,,,17.0,,,,,,,17.0,,,,,23,175.4,13.,104.7,204.0,17.5,17.5,18.0,,,,18.0,,,,,,,17.5,,,,,28,182.8,18.,358.2,225,200
19.,18,SCHLIERENZAUER Gregor,AUT,104.1,185.0,17.0,17.5,17.0,,,,17.0,,,,,,,17.0,,,,,27,166.7,20.,105.5,214.5,18.0,18.5,18.5,,,,18.5,,,,,,,18.5,,,,,30,188.6,15.,355.3,225,200
20.,22,TEPES Jurij,SLO,104.8,183.0,16.0,16.5,14.5,,,,14.5,,,,,,,15.5,,,,,29,150.0,28.,105.0,215.5,18.0,18.5,18.5,,,,18.5,,,,,,,18.0,,,,,28,195.0,7.,345.0,225,200
21.,3,LANISEK Anze,SLO,102.9,181.5,16.5,16.5,17.0,,,,17.0,,,,,,,17.0,,,,,25,164.7,21.,104.9,196.0,17.5,17.5,17.5,,,,17.5,,,,,,,17.5,,,,,30,170.7,20.,335.4,225,200
22.,13,WANK Andreas,GER,104.5,190.0,17.0,16.0,17.0,,,,17.0,,,,,,,17.0,,,,,27,164.0,22.,105.9,204.0,17.5,17.5,17.5,,,,18.0,,,,,,,17.0,,,,,30,169.6,21.,333.6,225,200
23.,12,AHONEN Janne,FIN,104.2,188.0,17.0,16.5,17.0,,,,17.5,,,,,,,17.0,,,,,27,160.9,23.,105.8,202.5,18.0,18.0,18.0,,,,18.0,,,,,,,18.0,,,,,30,167.1,24.,328.0,225,200
24.,11,BICKNER Kevin,USA,103.7,181.5,16.5,15.0,16.5,,,,16.0,,,,,,,15.5,,,,,27,158.3,24.,105.1,180.5,16.5,16.5,17.0,,,,16.0,,,,,,,17.0,,,,,28,168.6,23.,326.9,225,200
25.,10,VANCURA Tomas,CZE,103.3,171.5,16.5,16.0,16.5,,,,16.0,,,,,,,16.5,,,,,27,157.4,25.,104.2,177.5,16.5,16.0,16.0,,,,15.5,,,,,,,16.5,,,,,28,159.1,28.,316.5,225,200
26.,14,KORNILOV Denis,RUS,103.7,186.5,17.0,16.5,17.5,,,,17.0,,,,,,,17.0,,,,,27,167.8,19.,105.5,186.5,16.0,15.0,16.5,,,,16.5,,,,,,,16.5,,,,,30,148.5,30.,316.3,225,200
27.,21,JOHANSSON Robert,NOR,105.5,185.0,17.0,16.5,17.0,,,,16.5,,,,,,,16.5,,,,,29,153.7,27.,104.3,185.5,17.0,15.5,17.0,,,,16.0,,,,,,,16.5,,,,,25,162.0,26.,315.7,225,200
28.,24,KUBACKI Dawid,POL,105.6,183.5,17.0,16.0,16.5,,,,16.5,,,,,,,16.5,,,,,31,147.9,29.,103.5,188.0,17.0,16.5,17.0,,,,16.5,,,,,,,17.0,,,,,25,164.1,25.,312.0,225,200
29.,28,DESCOMBES SEVOIE Vincent,FRA,103.8,185.5,16.5,14.5,16.5,,,,16.5,,,,,,,16.5,,,,,27,156.2,26.,103.2,162.5,15.5,15.5,16.0,,,,16.0,,,,,,,16.5,,,,,25,152.1,29.,308.3,225,200
30.,1,GLASDER Michael,USA,102.9,169.5,15.5,16.0,16.0,,,,16.0,,,,,,,16.0,,,,,25,141.9,30.,103.5,179.5,16.5,16.0,17.0,,,,16.5,,,,,,,16.5,,,,,25,159.7,27.,301.6,225,200
1.,45,KOT Maciej,POL,87.9,139.0,,,19.0,,19.0,,19.0,,,,18.5,18.5,,,,,,,10,133.3,1.,87.9,138.0,,,18.5,,18.5,,19.0,,,,19.0,19.0,,,,,,,10,126.9,3.,260.2,137,123
1.,39,PREVC Peter,SLO,87.4,143.0,,,17.5,,17.5,,16.0,,,,17.0,17.0,,,,,,,10,129.5,3.,87.5,134.0,,,18.5,,18.5,,18.5,,,,18.0,18.5,,,,,,,10,130.7,1.,260.2,137,123
3.,48,KRAFT Stefan,AUT,87.7,137.0,,,19.0,,18.5,,18.0,,,,18.5,18.5,,,,,,,10,127.3,4.,87.2,139.0,,,19.0,,18.5,,19.0,,,,19.0,19.0,,,,,,,10,130.2,2.,257.5,137,123
4.,44,WELLINGER Andreas,GER,87.7,139.0,,,18.5,,17.0,,17.5,,,,18.0,18.0,,,,,,,10,130.2,2.,87.6,130.0,,,18.0,,18.0,,18.5,,,,18.5,18.0,,,,,,,10,117.3,6.,247.5,137,123
5.,26,KOUDELKA Roman,CZE,87.1,131.0,,,18.5,,18.5,,18.5,,,,18.5,18.0,,,,,,,10,118.8,7.,87.4,128.0,,,18.0,,18.0,,18.0,,,,18.0,18.0,,,,,,,10,111.8,8.,230.6,137,123
6.,42,EISENBICHLER Markus,GER,87.1,135.0,,,18.5,,19.0,,18.5,,,,18.5,18.5,,,,,,,10,122.6,5.,87.2,123.5,,,16.0,,17.5,,17.0,,,,17.0,18.0,,,,,,,10,101.2,14.,223.8,137,123
7.,49,TANDE Daniel Andre,NOR,87.9,125.5,,,17.5,,18.0,,17.5,,,,17.0,17.5,,,,,,,10,110.2,12.,88.2,127.0,,,17.5,,18.0,,18.0,,,,18.0,17.5,,,,,,,10,111.1,9.,221.3,137,123
8.,43,FETTNER Manuel,AUT,87.2,126.5,,,18.0,,18.0,,18.0,,,,18.0,17.5,,,,,,,10,103.3,17.,87.4,130.5,,,17.5,,18.0,,18.5,,,,18.5,17.5,,,,,,,10,117.5,5.,220.8,137,123
9.,27,ZIOBRO Jan,POL,87.4,127.5,,,17.0,,17.0,,17.5,,,,17.5,18.0,,,,,,,10,109.7,13.,87.4,126.5,,,17.0,,17.5,,18.0,,,,17.5,17.5,,,,,,,10,109.3,10.,219.0,137,123
10.,41,ZYLA Piotr,POL,87.7,129.0,,,18.0,,17.5,,18.0,,,,18.5,18.0,,,,,,,10,114.6,9.,87.8,122.0,,,17.5,,17.5,,17.0,,,,18.0,18.0,,,,,,,10,100.0,16.,214.6,137,123
11.,40,FREITAG Richard,GER,87.4,130.0,,,18.0,,18.0,,19.0,,,,18.0,18.0,,,,,,,10,116.0,8.,87.2,122.5,,,17.0,,17.0,,18.0,,,,17.0,18.0,,,,,,,10,97.8,18.,213.8,137,123
11.,18,AMMANN Simon,SUI,87.5,129.5,,,17.0,,16.5,,17.5,,,,17.5,17.0,,,,,,,10,111.1,11.,87.6,123.5,,,16.0,,17.5,,17.0,,,,17.5,17.0,,,,,,,10,102.7,13.,213.8,137,123
13.,33,GEIGER Karl,GER,87.5,117.5,,,16.0,,17.0,,17.0,,,,16.5,17.0,,,,,,,10,95.0,24.,87.6,132.0,,,18.0,,18.0,,18.5,,,,18.0,18.0,,,,,,,10,118.0,4.,213.0,137,123
14.,38,STJERNEN Andreas,NOR,88.0,123.5,,,18.0,,18.0,,18.0,,,,18.0,17.5,,,,,,,10,108.5,15.,88.0,120.5,,,18.0,,17.5,,18.0,,,,17.5,17.5,,,,,,,10,102.9,12.,211.4,137,123
15.,37,DESCOMBES SEVOIE Vincent,FRA,87.7,117.0,,,15.5,,17.0,,17.0,,,,17.5,17.0,,,,,,,10,93.1,28.,87.6,130.5,,,18.0,,18.5,,18.5,,,,18.0,18.5,,,,,,,10,113.3,7.,206.4,137,123
16.,36,KLIMOV Evgeniy,RUS,87.7,123.0,,,17.0,,17.5,,17.5,,,,17.0,17.5,,,,,,,10,101.2,20.,87.7,124.0,,,17.5,,17.5,,18.0,,,,18.0,17.5,,,,,,,10,105.1,11.,206.3,137,123
